item_id,category,verb,pattern,corpus_frequency,grammatical_sentence,ungrammatical_sentence,presented_status,sentence,error_type
1,v-obj,find,find + NP,108,The boy found the key.,The boy found to the key.,grammatical,The boy found the key.,Extra preposition
2,v-obj,like,like + NP,157,The girl likes music.,The girl likes to music.,ungrammatical,The girl likes to music.,Extra preposition
3,v-obj,hear,hear + NP,15,We heard a strange noise.,We heard to a strange noise.,grammatical,We heard a strange noise.,Extra preposition
4,v-obj,meet,meet + NP,13,I met a friend at school.,I met to a friend at school.,ungrammatical,I met to a friend at school.,Extra preposition
5,v-obj,thank,thank + NP,36,She thanked the man.,She thanked to the man.,grammatical,She thanked the man.,Extra preposition
6,v-comp[to-inf],want,want + to V,202,The boy wants to go home.,The boy wants go home.,ungrammatical,The boy wants go home.,Missing infinitival to
7,v-comp[to-inf],begin,begin + to V,143,It began to rain at night.,It began rain at night.,grammatical,It began to rain at night.,Missing infinitival to
8,v-comp[to-inf],try,try + to V,12,She tried to open the door.,She tried open the door.,ungrammatical,She tried open the door.,Missing infinitival to
9,v-comp[to-inf],start,start + to V,5,The boys started to play.,The boys started play.,grammatical,The boys started to play.,Missing infinitival to
10,v-obl[at],look,look + at NP,282,The girl looked at the picture.,The girl looked the picture.,ungrammatical,The girl looked the picture.,Missing preposition
11,v-obl[at],smile,smile + at NP,6,The woman smiled at the boy.,The woman smiled the boy.,grammatical,The woman smiled at the boy.,Missing preposition
12,v-obl[at],point,point + at NP,6,He pointed at the red ball.,He pointed the red ball.,ungrammatical,He pointed the red ball.,Missing preposition
13,v-comp,feel,feel + Adj,10,The boy felt very happy.,The boy felt a happy.,grammatical,The boy felt very happy.,Wrong complement form
14,v-comp,become,become + NP,2,The boy became a king.,The boy became to a king.,ungrammatical,The boy became to a king.,Extra preposition
15,v-comp,sound,sound + Adj,1,The music sounds good.,The music sounds a good.,grammatical,The music sounds good.,Wrong complement form
16,v-obl[to],go,go + to NP,110,We went to the lake.,We went the lake.,ungrammatical,We went the lake.,Missing preposition
17,v-obl[to],talk,talk + to NP,14,The girl talked to the boy.,The girl talked the boy.,grammatical,The girl talked to the boy.,Missing preposition
18,v-obl[to],listen,listen + to NP,7,The boy listened to the radio.,The boy listened the radio.,ungrammatical,The boy listened the radio.,Missing preposition
19,v-comp[that],think,think + finite clause,50,I think the boy is right.,I think the boy right.,grammatical,I think the boy is right.,Missing copula in complement
20,v-comp[that],know,know + that-clause,16,We know that the girl is safe.,We know that the girl safe.,ungrammatical,We know that the girl safe.,Missing copula in complement
21,v-comp[that],hope,hope + finite clause,27,I hope the weather is good.,I hope the weather good.,grammatical,I hope the weather is good.,Missing copula in complement
22,v-obj-comp[bare-inf],let,let + O + bare V,115,The man let the boy go.,The man let the boy to go.,ungrammatical,The man let the boy to go.,Extra infinitival to
23,v-obj-comp[bare-inf],make,make + O + bare V,29,The story made the girl laugh.,The story made the girl to laugh.,grammatical,The story made the girl laugh.,Extra infinitival to
24,v-obj-comp[bare-inf],watch,watch + O + bare V,3,We watched the boy play football.,We watched the boy to play football.,ungrammatical,We watched the boy to play football.,Extra infinitival to
25,v-obj-obl[to],take,take + O + to NP,66,The man took the boy to school.,The man took to school the boy.,grammatical,The man took the boy to school.,Argument order
26,v-obj-obl[to],throw,throw + O + to NP,7,She threw the ball to the boy.,She threw the ball the boy.,ungrammatical,She threw the ball the boy.,Missing preposition
27,v-obj-obl[to],tie,tie + O + to NP,7,He tied the dog to the tree.,He tied the dog the tree.,grammatical,He tied the dog to the tree.,Missing preposition
28,v-obj-obj,give,give + IO + DO,65,The man gave the boy a book.,The man gave a book the boy.,ungrammatical,The man gave a book the boy.,Argument order
29,v-obj-obj,show,show + IO + DO,25,The woman showed the girl a picture.,The woman showed a picture the girl.,grammatical,The woman showed the girl a picture.,Argument order
30,v-obj-obj,tell,tell + IO + DO,10,The man told the boy a story.,The man told a story the boy.,ungrammatical,The man told a story the boy.,Argument order
